p_game,p_total_hits,p_home_run,p_strikeout,p_walk,p_k_percent,p_bb_percent,batting_avg,slg_percent,on_base_percent,p_earned_run,p_era,p_rbi,p_called_strike,p_unearned_run,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,meatball_percent,pitch_hand,n_fastball_formatted,fastball_avg_speed,winning?
32,169,16,247,46,29.1,5.4,0.215,0.321,0.263,66,2.78,63,501,6,84.6,8.4,31.2,4.6,28.5,8,R,60.7,97,Yes
69,40,3,77,37,29.2,14,0.182,0.277,0.299,18,2.57,16,134,1,89.7,15.8,30.4,3.4,37.8,6.3,L,70.7,96,No
52,53,4,47,18,22.7,8.7,0.294,0.389,0.343,24,4.66,27,134,3,87.3,1,27.1,5,35.8,7,L,58.6,94,No
28,35,4,35,19,19.8,10.7,0.238,0.354,0.345,26,5.85,32,124,3,88.3,5,27.6,6,36.2,7.9,R,40.4,92.7,Yes
26,119,14,67,42,14.7,9.2,0.292,0.475,0.362,65,5.81,63,251,5,90.8,8.2,31.8,8.7,47.8,6.7,R,63.4,93.9,No
72,58,8,76,37,25.6,12.5,0.228,0.398,0.337,34,4.43,36,185,5,91.1,11.9,31.3,11.2,47.5,8.9,R,55.8,96.7,No
53,55,5,54,19,20.7,7.3,0.229,0.342,0.284,18,2.51,26,172,6,86.9,8.5,30.3,6.4,35.1,8.4,R,31.5,93.6,Yes
15,77,9,67,23,19.9,6.8,0.255,0.397,0.318,34,3.89,33,213,3,87.8,17.1,28.7,7.9,36.3,6.8,L,47.5,91.9,No
57,41,9,75,35,31.8,14.8,0.212,0.399,0.347,31,5.26,31,139,0,91.5,15.9,39.2,11.7,45.4,5.9,L,65.5,94.5,Yes
31,192,37,143,60,19,8,0.286,0.51,0.34,111,5.82,109,423,3,89.4,9,32.9,9.2,41.2,6.7,L,56.7,92.4,Yes
36,40,9,37,21,21.6,12.3,0.278,0.5,0.386,25,6.37,27,112,0,91.2,14.7,36.1,10.2,45.4,7.2,R,47.7,94,No
68,53,2,62,25,23,9.3,0.217,0.287,0.289,20,2.81,22,181,5,85.8,8.8,30.1,5.5,32.8,6.5,R,62.8,93.7,No
54,43,7,54,27,25,12.5,0.234,0.413,0.333,19,3.35,26,154,3,85.7,16.1,38.3,9.8,27.5,6.8,R,47,94.7,Yes
17,30,5,21,9,18.1,7.8,0.283,0.491,0.345,19,6.41,27,57,1,89.3,11.7,38.8,11.8,43.5,6.3,R,55.5,92.7,No
30,130,29,150,41,26.9,7.3,0.256,0.487,0.317,84,5.83,74,371,1,89.3,18.5,33.8,9.4,40.8,6.3,L,59.4,92,No
65,37,1,57,16,26.1,7.3,0.192,0.238,0.261,6,0.95,17,162,3,88.1,9.1,34,2.1,37.6,9.2,L,84.8,89.4,Yes
29,158,18,144,43,22.3,6.6,0.265,0.405,0.32,64,3.82,62,470,6,87.8,9.6,32.2,7,37.9,8.3,L,51.9,94.5,No
9,43,6,31,11,16.7,5.9,0.253,0.406,0.301,21,4.23,22,135,3,87.7,9.8,28.2,7.7,37.3,8.2,R,49.4,93,No
40,158,19,115,60,18.6,9.7,0.289,0.468,0.361,74,4.87,77,361,12,91.1,10.6,34.6,8.5,47.8,8.8,R,53.6,94.3,No
25,20,3,19,12,17.3,10.9,0.222,0.356,0.336,16,5.76,17,76,1,84.1,25.5,39.2,5.4,27,8.1,L,55.5,90.9,No
31,49,5,28,11,14.9,5.9,0.28,0.44,0.324,26,5.4,31,117,1,91.1,15.5,38.5,5.4,41.9,9.1,R,68.9,93.4,No
65,35,4,74,19,30.8,7.9,0.164,0.272,0.242,19,2.79,26,136,0,87.3,14.7,27.3,8.4,35,5.8,R,44.1,93.3,No
28,25,6,24,14,21.2,12.4,0.263,0.505,0.381,19,7.23,11,81,0,89.7,20.8,28.2,11.3,40.8,6.4,R,64.9,90.3,No
63,47,6,77,27,31.6,11.1,0.22,0.369,0.307,21,3.22,17,195,0,89.1,17.4,36,7.2,35.3,8.1,R,32.5,95.5,No
32,189,25,95,59,13.2,8.2,0.29,0.472,0.354,95,5.28,91,457,10,88.3,4.9,33.7,8.8,39.5,4.2,L,64.5,86.8,No
57,45,1,38,17,21.5,9.6,0.292,0.448,0.356,15,3.4,21,123,9,86.6,7.7,35.5,5.8,36.4,9,L,51.4,91.1,No
40,38,4,59,8,35.5,4.8,0.247,0.37,0.277,15,3.35,24,135,3,87.7,5.9,34.3,7.1,36.4,9.8,L,46,95.7,No
33,161,17,158,44,21.6,6,0.242,0.362,0.29,60,3.02,62,461,10,89.1,6.3,33.6,6.5,42,6.9,R,61,91.4,No
59,55,8,77,20,28.9,7.5,0.232,0.401,0.293,23,3.23,33,188,1,88.4,20.8,32.5,12,39.2,9.1,L,49,91.3,Yes
29,27,4,43,20,25.7,12,0.189,0.329,0.293,11,2.48,12,85,1,89.5,6,30.4,5.9,42.2,7,R,51.4,95.2,Yes
29,145,27,163,62,24.5,9.3,0.243,0.432,0.318,77,4.41,69,421,5,91.9,7.9,37.4,11,47,8.7,L,70.6,93.2,No
26,27,6,23,17,19.8,14.7,0.278,0.485,0.379,14,5.04,14,69,0,87.9,18.3,34.2,11.8,42.1,8.8,R,50.2,92.9,No
41,37,6,30,15,20.3,10.1,0.278,0.489,0.351,20,5.51,23,103,2,88,6.2,33,6.8,40.8,7.2,L,48.6,85.4,No
