@relation ML_Quarter_1_Labeled_WrapperSubsetEval-Train

@attribute p_home_run numeric
@attribute p_strikeout numeric
@attribute p_walk numeric
@attribute batting_avg numeric
@attribute slg_percent numeric
@attribute p_era numeric
@attribute winning? {No,Yes}

@data
4,30,5,0.168,0.347,4.05,Yes
6,54,22,0.126,0.296,2.25,Yes
7,59,19,0.197,0.35,2.81,Yes
6,42,21,0.288,0.503,6.56,Yes
20,88,46,0.263,0.469,4.74,Yes
5,23,13,0.269,0.462,5.01,Yes
13,114,43,0.275,0.427,4.51,Yes
9,40,13,0.274,0.478,6,Yes
3,37,9,0.211,0.366,2.38,Yes
6,57,35,0.206,0.388,5.96,Yes
18,120,64,0.297,0.457,5.39,Yes
12,68,26,0.223,0.424,4.73,Yes
5,57,12,0.206,0.309,3.4,Yes
